-22973,52,31,217,6,17
-22890,17,30,191,9,13
-22862,40,30,213,8,13
-22809,59,30,174,3,41
-22804,7,30,200,2,53
-22734,36,30,173,21,6
-22669,55,30,248,11,8
-22651,9,31,202,10,11
-22591,25,30,188,13,9
-22511,11,31,194,19,6
-22500,54,30,163,6,22
-22490,50,31,178,4,30
-22431,16,30,209,21,5
-22379,41,30,226,31,3
-22329,56,35,222,19,5
-22286,23,30,198,4,27
-22241,21,31,164,12,11
-22168,2,30,193,38,3
-22166,33,30,206,2,50
-22146,31,30,163,26,5
-22108,15,31,168,32,4
-22066,41,30,214,2,48
-21990,43,30,193,10,11
-21965,4,30,163,19,7
-21928,21,32,166,8,16
-21927,46,30,247,17,5
-21892,3,31,206,15,7
-21886,22,30,205,8,13
-21794,10,30,243,8,11
-21747,28,30,239,3,29
-21663,16,31,166,6,21
-21598,35,30,177,38,3
-21550,19,30,175,10,12
-21474,7,30,183,6,19
-21445,57,30,178,5,23
-21367,48,31,161,18,7
-21361,28,31,189,4,27
-21318,47,30,167,24,5
-21294,42,30,245,12,7
-21254,59,30,162,4,31
-21219,13,31,225,3,30
-21150,42,30,169,15,8
-21130,7,30,159,10,13
-21096,45,30,173,13,9
-21016,15,30,194,4,26
-20991,3,31,162,7,18
-20908,57,32,207,19,5
-20876,43,30,168,38,3
-20825,12,30,163,25,5
-20734,28,32,159,9,14
-20692,23,32,167,20,6
-20670,52,30,157,9,14
-20646,8,31,173,39,3
-20636,39,32,248,4,20
-20592,44,30,237,6,14
-20576,47,30,194,2,49
-20553,7,30,226,3,29
-20476,43,30,171,28,4
-20456,22,31,190,26,4
-20395,12,31,200,20,5
-20314,55,30,239,38,2
-20218,58,31,159,11,11
-20191,14,31,199,2,47
-20141,12,34,217,13,7
-20079,56,31,228,2,41
-20001,51,31,220,28,3
